		V;NFIN
anculeva	culir	V;IND;PST;1;SG;IPFV
anculevan	culir	V;IND;PST;1;PL;IPFV
anculevas	culir	V;IND;PST;2;PL;IPFV
anculez	culir	V;IND;PRS;2;PL
anculida	culir	V.PTCP;PST;FEM;SG
anculidas	culir	V.PTCP;PST;FEM;PL
anculieu	culir	V.PTCP;PST;MASC;SG
anculieus	culir	V.PTCP;PST;MASC;PL
anculir	culir	V;IND;FUT;1;PL
anculànd	culir	V.PTCP;PRS
ancunachessan	canuscher	V;COND;1;PL
ancunaschagn	canuscher	V;IND;PRS;1;PL
ancunasched	canuscher	V;IMP;2;PL
ancunascheian	canuscher	V;SBJV;PRS;1;PL
ancunascheias	canuscher	V;SBJV;PRS;2;PL
ancunaschess	canuscher	V;COND;1;SG
ancunaschessan	canuscher	V;COND;3;PL
ancunaschessas	canuscher	V;COND;2;PL
ancunascheva	canuscher	V;IND;PST;1;SG;IPFV
ancunaschevan	canuscher	V;IND;PST;1;PL;IPFV
ancunaschevas	canuscher	V;IND;PST;2;SG;IPFV
ancunaschez	canuscher	V;IND;PRS;2;PL
ancunaschida	canuscher	V.PTCP;PST;FEM;SG
ancunaschidas	canuscher	V.PTCP;PST;FEM;PL
ancunaschieu	canuscher	V.PTCP;PST;MASC;SG
ancunaschieus	canuscher	V.PTCP;PST;MASC;PL
ancùn	uncanar	V;IND;PRS;1;SG
ancùna	uncanar	V;IMP;2;SG
ancùnan	uncanar	V;SBJV;PRS;3;PL
ancùnas	uncanar	V;SBJV;PRS;2;SG
ancùnel	uncanar	V;IND;PRS;1;SG
ancùni	uncanar	V;SBJV;PRS;3;SG
ancùnian	uncanar	V;SBJV;PRS;3;PL
ancùnias	uncanar	V;SBJV;PRS;2;SG
ancùnt	cùnter	V;IND;PRS;1;SG
ancùnta	cùnter	V;IMP;2;SG
ancùntagn	cùnter	V;IND;PRS;1;PL
ancùntan	cùnter	V;IND;PRS;3;PL
ancùntas	cùnter	V;SBJV;PRS;2;SG
ancùnted	cùnter	V;IMP;2;PL
ancùnteian	cùnter	V;SBJV;PRS;1;PL
ancùnteias	cùnter	V;SBJV;PRS;2;PL
ancùntel	cùnter	V;IND;PRS;1;SG
ancùnter	cùnter	V;IND;PST;1;SG;IPFV
ancùnter	pusar	V;IND;PST;1;SG;IPFV
ancùntess	cùnter	V;COND;1;SG
ancùntessan	cùnter	V;COND;3;PL
ancùntessas	cùnter	V;COND;2;PL
ancùnteva	cùnter	V;IND;PST;1;SG;IPFV
