		N;MASC;SG
ạza	ẹzza	N;FEM;SG
ạzza	az	N;FEM;SG
ạṣchs	asch	N;MASC;PL
ẹcla	atlạna	N;FEM;SG
ẹdra	eder	N;FEM;SG
ẹgla	edla	N;FEM;SG
ẹgna	ịgna	N;FEM;SG
ẹgra	egher	N;FEM;SG
ẹista	esta	N;FEM;SG
ẹlla	el	N;FEM;SG
ẹlla	è	N;FEM;SG
ẹllas	ịllas	N;FEM;PL
ẹls	ẹ̀	N;MASC;PL
ẹls	è	N;MASC;PL
ẹmpla	ẹmpel	N;FEM;SG
ẹna	ern	N;FEM;SG
ẹngla	ạingla	N;FEM;SG
ẹnts	ent	N;MASC;PL
ẹra	ạina	N;FEM;SG
ẹrs	er	N;MASC;PL
ẹs	è	N;MASC;PL
ẹssa nuẹlla	esse	N;FEM;SG
ẹtra	eltra	N;FEM;SG
ẹts	et	N;MASC;PL
ẹtscha	sch	N;FEM;SG
ẹtschra	etscher	N;FEM;SG
ẹttals	eccals	N;MASC;PL
ẹttas	etta	N;FEM;PL
ẹzza	azzina	N;FEM;SG
ẹṣa	uọja	N;FEM;SG
ẹṣchda	ẹdschda	N;FEM;SG
ịna	etta	N;FEM;SG
ịna	ina-nana	N;FEM;SG
ịna ạrsa	inarsa	N;FEM;SG
ịns	in	N;MASC;PL
ịns	inellas	N;MASC;PL
ịnzcha	uọnzcha	N;FEM;SG
ịs	i	N;MASC;PL
ịscha	isch	N;FEM;SG
ịsma	aisma	N;FEM;SG
ịstra	ister	N;FEM;SG
ịsts	ist	N;MASC;PL
ịticra	itiker	N;FEM;SG
ịtra	iter	N;FEM;SG
ịts	it	N;MASC;PL
ịza	issa	N;FEM;SG
ịza	izi	N;FEM;SG
ọcha	ocla	N;FEM;SG
ọcs	oc	N;MASC;PL
ọkịstas	okist	N;FEM;PL
ọma	ạma	N;FEM;SG
ọmbra	ambra	N;FEM;SG
ọmna	omma	N;FEM;SG
ọmra	omer	N;FEM;SG
ọnda	ạnda	N;FEM;SG
ọnra	oner	N;FEM;SG
ọnzla	uọnzla	N;FEM;SG
ọrca	üẹrch	N;FEM;SG
ọrfna	orfen	N;FEM;SG
ọricra	oriker	N;FEM;SG
ọrs	r	N;FEM;PL
ọrtra	orter	N;FEM;SG
ọs	ò	N;MASC;PL
ọstra	ọster	N;FEM;SG
ọsts	ost	N;MASC;PL
ọts	ot	N;MASC;PL
ọula	oul	N;FEM;SG
ọula	öl	N;FEM;SG
ọus	ö	N;MASC;PL
ọus	öl	N;MASC;PL
ọus	ọ̈l	N;MASC;PL
ọus/uṣọ̈ls	ọ̈l	N;MASC;PL
ụcla	ucal	N;FEM;SG
ụdgia	ụcha	N;FEM;SG
ụgra	ugher	N;FEM;SG
ụis	uọis	N;MASC;PL
ụmma	omma	N;FEM;SG
ụmprita	umpra	N;FEM;SG
ụns	un	N;MASC;PL
ụrda	uọrdi	N;FEM;SG
ụrs	ur	N;MASC;PL
