		ADJ;MASC;SG
ạpta	apt	ADJ;FEM;SG
ạra	ar	ADJ;FEM;SG
ạrda	ard	ADJ;FEM;SG
ạrdada	ardà	ADJ;FEM;SG
ạrdadas	ardà	ADJ;FEM;PL
ạrgia	arg	ADJ;FEM;SG
ạrra	ar	ADJ;FEM;SG
ạrsa	arder	ADJ;FEM;SG
ạrsa	ars	ADJ;FEM;SG
ạrsas	arder	ADJ;FEM;PL
ạrsas	ars	ADJ;FEM;PL
ạrscha	arsch	ADJ;FEM;SG
ạrva	arv	ADJ;FEM;SG
ạs	ader	ADJ;MASC;PL
ạs	à	ADJ;FEM;PL
ạsa	ader	ADJ;FEM;SG
ạsas	ader	ADJ;FEM;PL
ạsca	asc	ADJ;FEM;SG
ạssa	ass	ADJ;FEM;SG
ạssas	ass	ADJ;FEM;PL
ạsta	ast	ADJ;FEM;SG
ạta	at	ADJ;FEM;SG
ạtas	at	ADJ;FEM;PL
ạts	at	ADJ;MASC;PL
ạts	ạ̀	ADJ;MASC;PL
ạts	tà	ADJ;MASC;PL
ạts	à	ADJ;MASC;PL
ạtta	at	ADJ;FEM;SG
ạttas	at	ADJ;FEM;PL
ạua	au	ADJ;FEM;SG
ạva	av	ADJ;FEM;SG
ẹca	ec	ADJ;FEM;SG
ẹcca	ec	ADJ;FEM;SG
ẹcha	ech	ADJ;FEM;SG
ẹglia	egl	ADJ;FEM;SG
ẹgna	egn	ADJ;FEM;SG
ẹgna d'ẹsser vịs	egn	ADJ;MASC;PL
ẹha	eh	ADJ;FEM;SG
ẹlgia	elg	ADJ;FEM;SG
ẹlgua	elg	ADJ;FEM;SG
ẹlla	el	ADJ;FEM;SG
ẹlla	è	ADJ;FEM;SG
ẹllas	è	ADJ;FEM;PL
ẹlscha	elsch	ADJ;FEM;SG
ẹlta	elt	ADJ;FEM;SG
ẹmpla	ẹmpel	ADJ;FEM;SG
ẹna	en	ADJ;FEM;SG
ẹptica	eptic	ADJ;FEM;SG
ẹra	er	ADJ;FEM;SG
ẹra ed apparạint	er	ADJ;FEM;SG
ẹrba	erb	ADJ;FEM;SG
ẹrda	erd	ADJ;FEM;SG
ẹrma	erm	ADJ;FEM;SG
ẹrna	ẹrn	ADJ;FEM;SG
ẹrsa	ers	ADJ;FEM;SG
ẹrsas	ers	ADJ;FEM;PL
ẹrta	ert	ADJ;FEM;SG
ẹrṣa	erdscher	ADJ;FEM;SG
ẹrṣas	erdscher	ADJ;FEM;PL
ẹs	è	ADJ;MASC;PL
ẹssa	ess	ADJ;FEM;SG
ẹssaa	ess	ADJ;FEM;SG
ẹssas	ess	ADJ;FEM;PL
ẹsta	est	ADJ;FEM;SG
ẹts	et	ADJ;MASC;PL
ẹtscha	etsch	ADJ;FEM;SG
ẹtta	et	ADJ;FEM;SG
ẹttas	et	ADJ;FEM;PL
ẹva	ev	ADJ;FEM;SG
ịbla	ibel	ADJ;FEM;SG
ịca	ic	ADJ;FEM;SG
ịcha	ich	ADJ;FEM;SG
ịda	id	ADJ;FEM;SG
ịglia	igl	ADJ;FEM;SG
ịna	in	ADJ;FEM;SG
ịncha	inch	ADJ;FEM;SG
ịnta	int	ADJ;FEM;SG
ịpa	ip	ADJ;FEM;SG
ịscha	isch	ADJ;FEM;SG
ịssa	is	ADJ;FEM;SG
ịssa	iss	ADJ;FEM;SG
ịssas	iss	ADJ;FEM;PL
ịsta	ist	ADJ;FEM;SG
ịtta	it	ADJ;FEM;SG
ịva	iv	ADJ;FEM;SG
ịxa	ix	ADJ;FEM;SG
ọba	ob	ADJ;FEM;SG
ọcca	oc	ADJ;FEM;SG
ọda	od	ADJ;FEM;SG
ọlta	olt	ADJ;FEM;SG
ọltas	olt	ADJ;FEM;PL
ọmma	om	ADJ;FEM;SG
ọncha	onch	ADJ;FEM;SG
ọnda	ond	ADJ;FEM;SG
ọnsa	onder	ADJ;FEM;SG
ọnsas	onder	ADJ;FEM;PL
ọnta	ont	ADJ;FEM;SG
ọppa	op	ADJ;FEM;SG
ọrba	orb	ADJ;FEM;SG
ọrsa	ors	ADJ;FEM;SG
ọrsas	ors	ADJ;FEM;PL
